		930 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			933 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		937 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			940 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		944 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			947 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		951 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			954 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		958 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			961 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		965 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			968 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		972 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			975 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		979 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			982 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		986 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			989 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		993 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			996 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1000 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1003 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1007 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1010 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1014 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1017 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1021 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1024 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1028 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1031 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1035 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1038 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1042 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1045 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1052 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1055 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		1059 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			1062 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
