					14253 0x6000feb8 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14256 0x6000fece irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14259 0x6000fee4 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14262 0x6000fefa irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14265 0x6000ff10 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14268 0x6000ff26 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14271 0x6000ff3c irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14274 0x6000ff52 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14277 0x6000ff68 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14280 0x6000ff7e irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14283 0x6000ff94 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14286 0x6000ffaa irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14289 0x6000ffc0 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14292 0x6000ffd6 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14295 0x6000ffec irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14299 0x60010002 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14302 0x60010018 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14306 0x60010142 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14309 0x60010158 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14312 0x6001016e irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14315 0x60010184 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14318 0x6001019a irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14321 0x600101b0 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14324 0x600101c6 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14327 0x600101dc irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14330 0x600101f2 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14333 0x60010208 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14336 0x6001021e irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14339 0x60010234 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14342 0x6001024a irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14345 0x60010260 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
				14349 0x60010bf2 irq 0x0-> 0x6000ec2c BOARD_BootClockRUN (from 0x60010bdc rt_hw_board_init)
					14350 0x6000ec36 irq 0x0-> 0x6000eb0c CLOCK_SetRtcXtalFreq (from 0x6000ec2c BOARD_BootClockRUN)
					14352 0x6000ec5c irq 0x0-> 0x6000eaec CLOCK_SetXtalFreq (from 0x6000ec2c BOARD_BootClockRUN)
					14354 0x6000ec62 irq 0x0-> 0x60010f5c CLOCK_InitExternalClk (from 0x6000ec2c BOARD_BootClockRUN)
